================ Training Loss (Sat Nov 29 20:58:22 2025) ================
[Rank 0] (epoch: 2, iters: 500, time: 0.086, data: 0.026) , D_A: 0.190, G_A: 0.747, cycle_A: 2.449, D_B: 0.150, G_B: 0.422, cycle_B: 1.924, clip_style_AtoB: 7.156, clip_style_BtoA: 7.375, edge_AtoB: 3.390

[Rank 0] (epoch: 2, iters: 520, time: 0.086, data: 0.021) , D_A: 0.174, G_A: 0.438, cycle_A: 3.265, D_B: 0.268, G_B: 0.589, cycle_B: 2.226, clip_style_AtoB: 7.023, clip_style_BtoA: 7.328, edge_AtoB: 3.879

[Rank 0] (epoch: 2, iters: 540, time: 0.085, data: 0.019) , D_A: 0.158, G_A: 0.740, cycle_A: 1.851, D_B: 0.215, G_B: 0.525, cycle_B: 2.429, clip_style_AtoB: 7.070, clip_style_BtoA: 7.301, edge_AtoB: 2.433

[Rank 0] (epoch: 2, iters: 560, time: 0.088, data: 0.014) , D_A: 0.187, G_A: 0.570, cycle_A: 2.675, D_B: 0.173, G_B: 0.524, cycle_B: 2.602, clip_style_AtoB: 7.305, clip_style_BtoA: 7.359, edge_AtoB: 2.582

[Rank 0] (epoch: 2, iters: 580, time: 0.088, data: 0.020) , D_A: 0.152, G_A: 0.549, cycle_A: 3.428, D_B: 0.133, G_B: 0.561, cycle_B: 2.053, clip_style_AtoB: 7.125, clip_style_BtoA: 7.398, edge_AtoB: 3.018

[Rank 0] (epoch: 2, iters: 600, time: 0.140, data: 0.022) , D_A: 0.178, G_A: 0.541, cycle_A: 1.965, D_B: 0.198, G_B: 0.450, cycle_B: 2.400, clip_style_AtoB: 6.992, clip_style_BtoA: 7.340, edge_AtoB: 4.431

[Rank 0] (epoch: 2, iters: 620, time: 0.141, data: 0.137) , D_A: 0.191, G_A: 0.987, cycle_A: 1.970, D_B: 0.152, G_B: 0.362, cycle_B: 2.567, clip_style_AtoB: 7.066, clip_style_BtoA: 7.352, edge_AtoB: 2.912

